year_month,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th
2024-01,9724,9581,9556,9444,9306,9130,8762,8515,8356,8109
2024-02,9313,9107,9062,9050,8829,8809,8452,8347,8309,8250
2024-03,9889,9696,9532,9212,9147,9146,9073,8766,8764,8734
2024-04,9965,9929,9746,9303,9248,9168,9125,8809,8641,8608
2024-05,9905,9840,9811,9741,9687,9597,9565,9498,9340,9340
2024-06,10161,9911,9834,9283,9283,9276,9222,9195,8812,8621
2024-07,9989,9959,9913,9727,9692,9690,9676,9651,9583,9499
2024-08,9889,9701,9567,9438,9402,9288,9280,9279,9212,9196
2024-09,9958,9846,9846,9738,9499,9192,9176,9088,8825,8787
2024-10,9939,9896,9871,9760,9626,9399,9347,9318,9242,9201
2024-11,9920,9828,9711,9631,9485,9419,9358,9321,9295,8830
2024-12,9977,9947,9909,9768,9767,9392,9155,9111,8958,8663
